Sector: Telecom,
Date: 13-Aug-2024,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: sangram.dash.mobile@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Avantel Ltd.,AVANTEL,Telecommunication - Equipment,4482.24,2,2024-03,11.5,4480.46,2024-06,207.18,51.93,2024-06,86.32,0.71,27.09,2,2024-03,0.07,39.59,48.69,"AVANTEL,"
Mahanagar Telephone Nigam Ltd.,MTNL,Telecommunication - Service  Provider,3775.59,2,2024-03,30027.82,33694.98,2024-03,798.57,-3269.34,2024-03,0,0,-0.16,2,2023-03,-1.35,0,-7.23,"MTNL,"
Hathway Cable & Datacom Ltd.,HATHWAY,Telecommunication - Service  Provider,3761.47,2,2024-03,5.78,3578.19,2024-06,1984.35,65.8,2024-06,39.46,,0.87,2,2024-03,0,2.34,3.36,"HATHWAY,"
GTL Infrastructure Ltd.,GTLINFRA,Telecom-Infrastructure,3457.9,1,2024-03,3339.51,6384.51,2024-03,1372.01,-681.36,2024-03,0,,-0.68,1,2023-03,-0.81,0,-499.72,"GTLINFRA,"
Vindhya Telelinks Ltd.,VINDHYATEL,Telecom-Infrastructure,2810.85,2,2024-03,476.76,3116.57,2024-06,4069.11,97.68,2024-06,11.1,21.82,0.75,2,2024-03,0.13,8.14,11.5,"VINDHYATEL,"
Suyog Telematics Ltd.,537259,Telecommunication - Equipment,1551.18,1,2024-03,85.54,1636.72,2024-06,173.92,67.96,2024-06,22.82,1.13,4.92,1,2023-03,0.43,23.2,26.15,"537259,"
ADC India Communications Ltd.,523411,Telecommunication - Equipment,923.86,1,2024-03,0,879.09,2024-06,182.92,27.74,2024-03,44.66,1.56,13.04,1,2024-03,0,33.68,45.22,"523411,"
Sar Televenture Ltd.,SARTELE,Telecommunication - Service  Provider,756.75,1,2024-03,177.87,929.96,2024-03,6.41,1.07,2024-03,709.9,,2.14,2,2024-03,2.48,37.44,12.25,"SARTELE,"
Kore Digital Ltd.,KDL,Telecommunication - Service  Provider,687.37,1,2024-03,0.83,688.2,2024-03,103.51,11.49,2024-03,59.81,,9.66,1,2023-03,0.36,77.97,85.7,"KDL,"
Valiant Communications Ltd.,526775,Telecommunication - Equipment,558.53,2,2024-03,1.77,540.17,2024-06,50.33,8.43,2024-06,66.23,12.48,10.16,2,2023-03,0.05,5.26,7.11,"526775,"
Frog Cellsat Ltd.,FROG,Telecommunication - Equipment,523.44,2,2024-03,4.7,526.72,2024-06,160.28,14,2024-06,37.4,,3.93,2,2024-03,0.04,12.48,16.16,"FROG,"
Reliance Communications Ltd.,RCOM,Telecommunication - Service  Provider,522.69,2,2024-03,47231,47367.69,2024-06,380,-103,2024-06,0,0,-0.01,2,2023-03,-0.63,0,0,"RCOM,"
GTL Ltd.,GTL,Telecommunication - Service  Provider,220.53,1,2024-03,5757.22,5962.8,2024-03,201.92,210.8,2024-03,1.05,0.1,-0.04,1,2023-03,-0.73,0,0,"GTL,"
Steelman Telecom Ltd.,543622,Telecommunication - Service  Provider,158.69,1,2024-03,47.08,192.18,2024-03,189.39,7.32,2024-03,21.66,,3.36,2,2024-03,1.47,-35.92,-9.28,"543622,"
Quadrant Televentures Ltd.,511116,Telecommunication - Equipment,150,1,2024-03,1768.56,1915.23,2024-06,261.74,-117.21,2024-06,0,0,-0.06,1,2023-03,-0.7,0,0,"511116,"
Prabhat Technologies (India) Ltd.,540027,Telecommunication - Equipment,107.06,2,2024-03,3.64,110.28,2024-03,6.56,-0.68,2023-09,0,0,3.6,2,2023-03,1.4,-4.38,-2.31,"540027,"
Maestros Electronics & Telecommunications Systems Ltd.,538401,Telecommunication - Equipment,78.38,1,2024-03,5.35,60.71,2024-06,31.9,4.36,2024-06,17.96,0.26,2.47,1,2024-03,0.18,17.6,23.26,"538401,"
Punjab Communications Ltd.,500346,Telecommunication - Equipment,75.89,1,2024-03,,21.02,2024-06,15.13,11.91,2024-06,6.37,,2.76,1,2023-03,0,-58.96,-58.76,"500346,"
Kavveri Telecom Products Ltd.,590041,Telecommunication - Equipment,61.62,2,2024-03,,61.62,2024-03,1.49,-1.32,2024-03,0,0,1.31,2,2023-03,0,99.36,22.82,"590041,"
Telogica Ltd.,532975,Telecommunication - Equipment,53.04,1,2024-03,2.56,55.6,2024-03,17.86,0.84,2024-03,63.37,6.42,-23.32,1,2023-03,-0.86,0,-162.74,"532975,"
Uniinfo Telecom Services Ltd.,UNIINFO,Telecommunication - Equipment,41.98,2,2024-03,1.3,43.24,2024-03,49.9,0.54,2024-03,77.46,,1.27,2,2023-03,0.2,1.9,3.13,"UNIINFO,"
Shyam Telecom Ltd.,517411,Telecommunication - Equipment,18.64,1,2024-03,0,18.5,2024-06,0,-3.07,2024-06,0,,-0.7,1,2024-03,0,0,0,"517411,"
Accord Synergy Ltd.,ACCORD,Telecommunication - Service  Provider,9.79,1,2024-03,,9.79,2024-03,31.88,0.39,2024-03,24.91,,0.68,1,2023-03,0,2.09,1.9,"ACCORD,"
Cistro Telelink Ltd.,531775,Telecommunication - Equipment,3.44,1,2024-03,0,3.42,2024-03,0.24,-1.43,2024-03,0,0,1.16,1,2024-03,0,-41.52,-40.97,"531775,"
City Online Services Ltd.,538674,Telecommunication - Service  Provider,3.28,1,2024-03,1.32,3.07,2024-03,10.14,-0.21,2024-03,0,0,-8.99,1,2023-03,-9.37,0,57.43,"538674,"
