Sector: Power,
Date: 13-Aug-2024,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: sangram.dash.mobile@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
BF Utilities Ltd.,BFUTILITIE,Power Generation/Distribution,2881.01,1,2024-03,13,2854.61,2024-03,19.4,10.09,2024-03,285.62,7.34,19.43,2,2023-03,-16.14,0,32.12,"BFUTILITIE,"
Orient Green Power Company Ltd.,GREENPOWER,Power Generation/Distribution,2496.19,2,2024-03,738.17,3161.56,2024-03,270.98,38.4,2024-03,68.33,3.18,2.65,2,2024-03,0.94,5.85,7.62,"GREENPOWER,"
India Power Corporation Ltd.,DPSCLTD,Power Generation/Distribution,1931.02,2,2024-03,210.64,2110.29,2024-06,642.6,17.12,2024-06,110.16,,3.56,2,2023-03,0.54,2.26,5.54,"DPSCLTD,"
Urja Global Ltd.,URJA,Power Generation/Distribution,1127.78,2,2024-03,5.01,1131.56,2024-06,45.48,2.64,2024-06,425.1,1.83,6.39,2,2024-03,0.03,1.18,2,"URJA,"
Ravindra Energy Ltd.,RELTD,Power Generation/Distribution,1093.49,2,2024-03,147.99,1241.48,2024-06,95.9,-48.61,2024-06,0,0,4.67,2,2023-03,1.21,17.62,10.4,"RELTD,"
GVK Power & Infrastructure Ltd.,GVKPIL,Power Generation/Distribution,772.23,2,2024-03,4599.14,5371.37,2024-03,1083.33,211.92,2024-03,37.85,,-0.82,2,2023-03,-5.09,0,74,"GVKPIL,"
Indowind Energy Ltd.,INDOWIND,Power Generation/Distribution,352.4,2,2024-03,55.19,407.11,2024-03,39.71,7.27,2024-03,48.51,,1.37,2,2023-03,0.26,-8.42,0.36,"INDOWIND,"
Surana Telecom And Power Ltd.,SURANAT&P,Power Generation/Distribution,301.52,2,2024-03,2.26,301.37,2024-06,22.65,8.65,2024-06,35.18,,2.22,2,2023-03,0.11,3.63,5.37,"SURANAT&P,"
WAA Solar Ltd.,541445,Power Generation/Distribution,228.06,1,2024-03,37.58,265.63,2024-03,26.08,4.4,2024-03,51.8,2.41,1.28,2,2023-03,0.52,4.71,7.18,"541445,"
Globus Power Generation Ltd.,526025,Power Generation/Distribution,221.94,1,2024-03,0,221.9,2024-06,0.02,6.78,2024-06,32.74,9.93,43.21,1,2024-03,0,322.25,322.38,"526025,"
Sungarner Energies Ltd.,SEL,Power Generation/Distribution,148.49,1,2024-03,5.7,154.19,2024-03,17.97,1.04,2024-03,142.51,,15.55,1,2023-03,1.32,31.17,26.33,"SEL,"
Sampann Utpadan India Ltd.,SAMPANN,Power Generation/Distribution,131.01,2,2024-03,97.06,228.06,2024-06,74.13,-1.43,2024-06,0,0,36.21,2,2023-03,14.78,-24.53,-1.22,"SAMPANN,"
Energy Development Company Ltd.,ENERGYDEV,Power Generation/Distribution,129.68,2,2024-03,153.72,265.42,2024-03,30.01,-2.17,2024-03,0,0,1.28,2,2023-03,1.53,4.16,7.33,"ENERGYDEV,"
Karma Energy Ltd.,KARMAENG,Power Generation/Distribution,92.98,1,2024-03,0.01,92.9,2024-06,11.24,0.77,2024-06,120.59,7.7,2.36,1,2024-03,0,0.32,0.21,"KARMAENG,"
Sri KPR Industries Ltd.,514442,Power Generation/Distribution,80.72,2,2024-06,,80.72,2024-06,13.61,9.9,2024-06,8.15,,0.88,2,2023-03,0.01,4.14,4.94,"514442,"
Gita Renewable Energy Ltd.,539013,Power Generation/Distribution,70.55,1,2024-03,,70.55,2024-03,0.34,0.36,2024-03,197.06,4.63,5.19,1,2023-03,0,52.92,28.97,"539013,"
KKV Agro Powers Ltd.,KKVAPOW,Power Generation/Distribution,46.65,1,2024-03,12.38,54.44,2024-03,1553.77,0.27,2024-03,172.79,,2.26,1,2023-03,0.63,5.9,12.17,"KKVAPOW,"
Veer Energy & Infrastructure Ltd.,503657,Power Generation/Distribution,29.66,1,2024-03,,29.66,2024-03,7.82,0.32,2024-03,90.14,,0.46,1,2023-03,0,0.08,-0.3,"503657,"
Amalgamated Electricity Company Ltd.,501622,Power Generation/Distribution,13.33,1,2024-03,,13.33,2024-03,0,-0.08,2024-03,0,,-54.63,1,2023-03,0,0,0,"501622,"
