Sector: Infrastructure,
Date: 13-Aug-2024,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: sangram.dash.mobile@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Ashoka Buildcon Ltd.,ASHOKA,Engineering - Construction,6578.75,2,2024-03,5442.92,11205.26,2024-03,9798.46,573.35,2024-03,13.08,0.3,2.96,2,2023-03,1.09,23.79,39.06,"ASHOKA,"
J Kumar Infraprojects Ltd.,JKIL,Engineering - Construction,6384.66,2,2024-03,575.99,6456.39,2024-03,4879.2,328.59,2024-03,19.3,1.29,2.34,1,2023-03,0.22,12.4,17.59,"JKIL,"
EMS Ltd.,EMSLIMITED,Engineering - Construction,4815.08,2,2024-03,70.66,4766.21,2024-06,861.62,167.34,2024-06,28.81,,5.76,2,2023-03,0.09,24.92,32.89,"EMSLIMITED,"
Ramky Infrastructure Ltd.,RAMKY,Engineering - Construction,4796.44,2,2024-03,834.36,5478.26,2024-03,2160.52,321.08,2024-03,15.58,,2.8,2,2023-03,1.17,136.59,64.16,"RAMKY,"
Patel Engineering Ltd.,PATELENG,Engineering - Construction,4473.5,2,2024-03,1885.49,6359,2024-06,4527.16,295.46,2024-06,14.83,,1.26,2,2023-03,0.62,6.96,14.23,"PATELENG,"
Oriana Power Ltd.,ORIANA,Engineering - Construction,4154.96,1,2024-03,32.59,4187.55,2024-03,377.31,55.13,2024-03,75.36,,13.27,2,2023-03,2.21,46.13,26.89,"ORIANA,"
Nirlon Ltd.,500307,Engineering - Construction,3812.89,1,2024-03,1145.58,4897.52,2024-06,611.37,205.61,2024-06,18.54,0.8,9.02,1,2023-03,2.85,35.9,22.37,"500307,"
Gensol Engineering Ltd.,GENSOL,Engineering - Construction,3622.92,2,2024-03,1396.57,4640.56,2024-06,1113.65,58.57,2024-06,51.92,1.44,11.12,2,2023-03,2.5,19.38,11.95,"GENSOL,"
Bajel Projects Ltd.,BAJEL,Engineering - Construction,3124.56,1,2024-03,135.87,3107.04,2024-06,1476.22,11.51,2024-06,271.39,,5.48,1,2024-03,0.24,1.52,8.37,"BAJEL,"
Vishnu Prakash R Punglia Ltd.,VPRPL,Engineering - Construction,3044.43,1,2024-03,395.52,3349.25,2024-03,1473.86,122.18,2024-03,24.92,,4.22,1,2023-03,0.8,38.31,33.93,"VPRPL,"
GE Power India Ltd.,GEPIL,Engineering - Construction,3035.32,2,2024-03,101.9,2985.83,2024-06,1631.23,-51.48,2024-06,0,,52.25,2,2024-03,1.48,-113.72,-21.93,"GEPIL,"
SEPC Ltd.,SEPC,Engineering - Construction,2845.86,2,2024-03,452.14,3237.07,2024-03,560.98,22.78,2024-03,124.91,,2.02,2,2023-03,0.37,-0.54,5.78,"SEPC,"
KP Energy Ltd.,539686,Engineering - Construction,2634.85,2,2024-03,100.49,2711.77,2024-03,472.95,58.61,2024-03,45.18,0.51,12.31,2,2023-03,0.49,40.7,44.86,"539686,"
Indian Hume Pipe Company Ltd.,INDIANHUME,Engineering - Construction,2540.31,1,2024-03,499.67,2997.62,2024-06,1405.77,100.28,2024-06,25.33,,2.95,1,2024-03,0.6,10.18,13.34,"INDIANHUME,"
Jaiprakash Associates Ltd.,JPASSOCIAT,Engineering - Construction,2263.14,2,2024-03,14924.14,16280.08,2024-03,6568.09,-1208.26,2024-03,0,0,-0.92,2,2023-03,-12.8,0,1.62,"JPASSOCIAT,"
Jyoti Structures Ltd.,JYOTISTRUC,Transmission Towers / Equipments,2248.98,2,2024-03,1916.34,4125.15,2024-06,354.51,31.49,2024-06,71.42,4.74,84.89,2,2024-03,-59.44,0,1.15,"JYOTISTRUC,"
GPT Infraprojects Ltd.,GPTINFRA,Engineering - Construction,2057.54,2,2024-03,188.71,2220.69,2024-06,1024.11,60.27,2024-06,33.51,0.89,5.46,2,2024-03,0.62,19.19,21.91,"GPTINFRA,"
Last Mile Enterprises Ltd.,526961,Engineering - Construction,1813.99,1,2024-03,33.47,1844.45,2024-06,3.51,-4.49,2024-06,0,0,6.85,1,2023-03,1.11,58.69,44.42,"526961,"
Reliance Industrial Infrastructure Ltd.,RIIL,Engineering - Construction,1789.95,2,2024-03,0,1788.91,2024-06,56.22,10.48,2024-06,133.58,18.03,3.78,2,2024-03,0,2.95,4.2,"RIIL,"
Om Infra Ltd.,OMINFRAL,Engineering - Construction,1771.03,2,2024-03,74.34,1763.08,2024-06,1016.51,45.45,2024-06,39.01,,2.41,2,2023-03,0.22,1.94,7.38,"OMINFRAL,"
Vascon Engineers Ltd.,VASCONEQ,Engineering - Construction,1674.08,2,2024-03,174.68,1766.76,2024-03,1037.23,52.31,2024-03,24.64,0.32,1.7,2,2023-03,0.15,11.67,11.58,"VASCONEQ,"
BMW Industries Ltd.,542669,Engineering - Construction,1591.81,2,2024-03,85.28,1667.73,2024-06,614.31,70.39,2024-06,22.57,18.73,2.33,2,2023-03,0.4,9.43,12,"542669,"
Likhitha Infrastructure Ltd.,LIKHITHA,Engineering - Construction,1494.37,2,2024-03,,1403.73,2024-06,456.51,66.37,2024-06,22.42,,4.58,2,2023-03,0,27.24,37.16,"LIKHITHA,"
SPML Infra Ltd.,SPMLINFRA,Engineering - Construction,1186.65,2,2023-09,1755.11,2920.31,2024-06,1174.11,10.02,2024-06,215.52,,2.01,2,2023-03,5.12,0.11,2.52,"SPMLINFRA,"
K&R Rail Engineering Ltd.,514360,Engineering - Construction,1006.06,2,2024-03,,1006.06,2024-03,662.41,7.79,2024-03,129.23,,34.77,2,2023-03,0.23,13.44,9.52,"514360,"
Giriraj Civil Developers Ltd.,GIRIRAJ,Engineering - Construction,861.14,1,2024-03,10.07,871.2,2024-03,134.67,10.12,2024-03,85.08,5.22,7.03,1,2023-03,0.33,9.53,12.12,"GIRIRAJ,"
Simplex Infrastructures Ltd.,SIMPLEXINF,Engineering - Construction,812,2,2024-03,7179.87,7930.28,2024-03,1388.47,-71.86,2024-03,0,,3.5,2,2023-03,19.9,-89.71,0.23,"SIMPLEXINF,"
Effwa Infra & Research Ltd.,EFFWA,Engineering - Construction,751.94,1,2024-03,14.06,765.9,,,,2024-03,54.49,,8.59,1,2024-03,0.38,45.46,45.72,"EFFWA,"
Newtime Infrastructure Ltd.,531959,Engineering - Construction,731.1,2,2024-03,47.85,778.95,2024-03,7.42,7.36,2024-03,92.14,24.27,13.14,2,2023-03,4.04,-2.54,0.46,"531959,"
VVIP Infratech Ltd.,544219,Engineering - Construction,726.49,1,2024-03,44.32,762.75,,,,2024-03,40.86,,5.19,2,2024-03,0.4,21.36,23.28,"544219,"
Sathlokhar Synergys E&C Global Ltd.,SSEGL,Engineering - Construction,685.28,1,2024-03,0.08,676.39,,,,2024-03,26.14,,4.6,1,2024-03,0,95.59,116.84,"SSEGL,"
MBL Infrastructure Ltd.,MBLINFRA,Engineering - Construction,681.14,2,2024-03,1087.87,1742.85,2024-06,111.41,192.15,2024-06,3.54,0.34,0.91,2,2023-03,1.45,-6.23,6.4,"MBLINFRA,"
Tantia Constructions Ltd.,TCLCONS,Engineering - Construction,649.61,2,2024-03,333.98,975.25,2024-06,41.69,-13.73,2024-06,0,0,2.61,2,2023-03,1.32,-0.94,-0.05,"TCLCONS,"
SRM Contractors Ltd.,SRM,Engineering - Construction,636.82,2,2024-03,47.58,684.4,2024-03,342.42,26.96,2024-03,23.62,,6.6,2,2023-03,0.75,34.86,33.13,"SRM,"
Teerth Gopicon Ltd.,TGL,Engineering - Construction,572.08,1,2024-03,11.24,583.32,2024-03,104.92,11.56,2024-03,49.49,,10.35,1,2023-03,0.5,25.64,17.39,"TGL,"
Pratham EPC Projects Ltd.,PRATHAM,Engineering - Construction,508.82,1,2024-03,3.39,512.21,2024-03,68.83,10.05,2024-03,50.64,,8.36,2,2023-03,0.79,54.03,48.92,"PRATHAM,"
Sadbhav Engineering Ltd.,SADBHAV,Engineering - Construction,507.85,2,2024-03,3733.6,4186.57,2024-03,1922.95,-779.87,2024-03,0,,-1.45,2,2023-03,30.25,-144.67,-0.85,"SADBHAV,"
Viviana Power Tech Ltd.,VIVIANA,Engineering - Construction,507.45,1,2024-03,16.68,524.13,2024-03,65.53,6.48,2024-03,78.25,,28.28,2,2023-03,0.56,17.25,18.75,"VIVIANA,"
Markolines Pavement Technologies Ltd.,543364,Engineering - Construction,475.59,1,2024-03,58.75,534.33,2024-03,347.29,17.3,2024-03,27.48,,5.54,1,2023-03,0.36,20.08,24.31,"543364,"
IL&FS Engineering and Construction Company Ltd.,532907,Engineering - Construction,431.78,2,2024-03,2668.21,2758.59,2024-06,289.18,-64.97,2024-06,0,0,-0.14,2,2024-03,-0.84,0,0,"532907,"
Z-Tech (India) Ltd.,ZTECH,Engineering - Construction,424.1,1,2023-03,0.71,424.57,,,,2023-03,214.24,,7,2,2023-03,0.07,21.71,28.79,"ZTECH,"
AVP Infracon Ltd.,AVPINFRA,Engineering - Construction,407.54,1,2024-03,59.37,466.9,2024-03,151,18.29,2024-03,22.28,,4.5,2,2023-03,2.64,47.64,22.07,"AVPINFRA,"
Bharat Road Network Ltd.,540700,Engineering - Construction,401.7,2,2024-03,1328.08,1475.12,2024-03,379.72,-113.23,2024-03,0,,2.11,2,2023-03,4.67,-50.59,-2.06,"540700,"
AB Infrabuild Ltd.,ABINFRA,Engineering - Construction,385.52,1,2024-03,21.43,396.91,2024-03,183.81,11.42,2024-03,33.76,2.68,4.21,1,2023-03,0.91,23.89,23.45,"ABINFRA,"
Suyog Gurbaxani Funicular Ropeways Ltd.,543391,Engineering - Construction,380.76,1,2024-03,86.93,467.69,2024-03,63.12,5.58,2024-03,68.19,,37.36,1,2023-03,6.47,3.13,5.96,"543391,"
Udayshivakumar Infra Ltd.,USK,Engineering - Construction,374.88,1,2024-03,38.08,412.95,2024-03,577.15,30.12,2024-03,12.44,,2.15,1,2023-03,0.31,15.55,18.65,"USK,"
Madhav Infra Projects Ltd.,539894,Engineering - Construction,374.18,2,2024-03,153.48,477.12,2024-06,404.01,21.18,2024-06,18.53,0.54,1.92,2,2023-03,1.24,29.19,20.18,"539894,"
Atlantaa Ltd.,532759,Engineering - Construction,366.26,2,2024-03,240.03,555.54,2024-03,132.77,538.74,2024-03,0.68,2.26,2.32,2,2023-03,-2.12,0,-0.67,"532759,"
Kay Cee Energy & Infra Ltd.,KCEIL,Engineering - Construction,345.95,1,2024-03,26.48,372.43,2024-03,64.46,6.54,2024-03,52.86,,7.75,1,2023-03,1.04,28.74,30.62,"KCEIL,"
K2 Infragen Ltd.,K2INFRA,Engineering - Construction,312.31,1,2024-03,25.29,315.84,2024-03,108.72,12.5,2024-03,24.98,,4.7,2,2023-03,1.71,149.8,58.9,"K2INFRA,"
A2Z Infra Engineering Ltd.,A2ZINFRA,Engineering - Construction,306.98,2,2024-03,197.75,501.87,2024-03,388.49,26.85,2024-03,0,0,5.27,2,2023-03,9.96,-138.17,-20.75,"A2ZINFRA,"
BGR Energy Systems Ltd.,532930,Engineering - Construction,299.47,2,2024-03,1830,2039.26,2024-06,1041.23,-780.76,2024-06,0,,-0.39,2,2024-03,-2.77,0,-15.49,"532930,"
Rudrabhishek Enterprises Ltd.,REPL,Engineering - Construction,298.24,2,2024-03,9.33,302.92,2024-03,100.58,14.05,2024-03,21.22,1.12,2.41,2,2023-03,0.09,12.17,16.38,"REPL,"
Refex Renewables & Infrastructure Ltd.,531260,Engineering - Construction,297.07,2,2024-03,418.65,706.41,2024-03,76.09,-34.41,2024-03,0,,21.88,2,2023-03,12.62,-61.05,2.78,"531260,"
RKEC Projects Ltd.,RKEC,Engineering - Construction,285.46,2,2024-03,138.98,383.95,2024-03,352.77,19.96,2024-03,14.3,,1.69,2,2023-03,0.78,8.58,19.97,"RKEC,"
Generic Engineering Construction And Projects Ltd.,GENCON,Engineering - Construction,270.22,1,2024-03,67.67,326.82,2024-03,289.36,12.11,2024-03,24.25,4.11,1.05,1,2023-03,0.25,6.96,11.17,"GENCON,"
Sadbhav Infrastructure Project Ltd.,SADBHIN,Engineering - Construction,268.4,2,2024-03,3291.15,3518.31,2024-06,705.54,-528.08,2024-06,0,0,-0.38,2,2023-03,-27.05,-1142.04,3.2,"SADBHIN,"
Brahmaputra Infrastructure Ltd.,535693,Engineering - Construction,256.64,2,2024-03,214.64,471.28,2024-03,221.12,17.19,2024-03,14.96,0.43,1.49,2,2023-03,1.63,7.36,8.72,"535693,"
Noida Toll Bridge Company Ltd.,NOIDATOLL,Engineering - Construction,237.77,2,2024-03,66.71,263.97,2024-06,27.6,-27.78,2024-06,0,0,1.19,2,2023-03,0.28,-13.84,-10.95,"NOIDATOLL,"
Trom Industries Ltd.,TROM,Engineering - Construction,234.7,1,2024-03,5.74,239.96,,,,2024-03,40.96,,5.38,1,2024-03,0.47,77.82,66.36,"TROM,"
Salasar Exteriors & Contour Ltd.,SECL,Engineering - Construction,231.63,1,2024-03,9.43,241.06,2024-03,0.28,0.06,2024-03,0,,19.3,1,2023-03,1.16,7.04,3.19,"SECL,"
Tarmat Ltd.,TARMAT,Engineering - Construction,226.69,2,2024-03,10.47,237.15,2024-03,89.35,-1.13,2024-03,0,0,1.48,2,2023-03,0.05,6.92,5.71,"TARMAT,"
Univastu India Ltd.,UNIVASTU,Engineering - Construction,223.95,2,2024-03,32.54,246.52,2024-03,120.49,10.39,2024-03,31.6,1.51,4.03,2,2023-03,0.74,15.86,19.28,"UNIVASTU,"
Coromandel Engineering Company Ltd.,533167,Engineering - Construction,214.36,1,2024-03,16.68,231.03,2024-03,96.64,-4.4,2024-03,0,0,-7.64,1,2023-03,3.1,0,1.23,"533167,"
Supreme Infrastructure India Ltd.,532904,Engineering - Construction,204.3,2,2024-03,4472.6,4676.91,2024-03,62.43,-1234.51,2024-03,0,,-0.03,2,2023-03,-1.03,0,-17.01,"532904,"
Precision Electronics Ltd.,517258,Engineering - Construction,193.88,1,2024-03,19.19,210.83,2024-06,47.94,0.46,2024-06,421.48,,14.8,1,2023-03,1.41,0.06,9.25,"517258,"
VL Infraprojects Ltd.,VLINFRA,Engineering - Construction,192.79,1,2024-03,16.55,207.56,,,,2024-03,31.4,,5.53,1,2024-03,1.01,46.2,39.47,"VLINFRA,"
Niraj Cement Structurals Ltd.,NIRAJ,Engineering - Construction,188.57,2,2024-03,0.72,189.29,2024-03,470.76,9.72,2024-03,19.39,,1.26,2,2023-03,0.15,2.47,3.69,"NIRAJ,"
IL&FS Transportation Networks Ltd.,533177,Engineering - Construction,186.19,1,2020-03,15512.54,15398.98,2020-03,99.51,-972.95,2020-03,0,,,1,2020-03,-1.04,0,-89.99,"533177,"
Power & Instrumentation (Gujarat) Ltd.,543912,Engineering - Construction,169.93,2,2024-03,14.31,184.23,2024-03,100.63,5.89,2024-03,28.86,,3.32,2,2023-03,0.71,9.14,11.69,"543912,"
MEP Infrastructure Developers Ltd.,MEP,Engineering - Construction,157.34,1,2023-09,245.46,390.69,2023-12,50.1,-222.14,2023-12,0,,1.06,2,2023-03,-0.83,0,-20.94,"MEP,"
Gayatri Projects Ltd.,GAYAPROJ,Engineering - Construction,153.5,1,2022-09,3347.2,3481.12,2022-12,1369.05,-1425.26,2022-12,0,,,1,2022-03,34.06,-172.1,-20.1,"GAYAPROJ,"
Teamo Productions HQ Ltd.,TPHQ,Engineering - Construction,141.18,1,2024-03,,141.18,2024-06,478.71,5.41,2024-06,26.08,0.25,1.18,1,2023-03,0.03,14.85,16.58,"TPHQ,"
Banka Bioloo Ltd.,BANKA,Engineering - Construction,137.35,2,2024-03,24.79,159.44,2024-03,50,-0.65,2024-03,0,,3.47,2,2024-03,0.63,-1.68,3.3,"BANKA,"
Jayant Infratech Ltd.,543544,Engineering - Construction,132.16,1,2024-03,9.07,141.22,2024-03,89.3,4.87,2024-03,27.13,,4.99,1,2023-03,0.31,16.12,18.65,"543544,"
Mcnally Bharat Engineering Company Ltd.,MBECL,Engineering - Construction,118.9,2,2024-03,3106.46,3204.67,2024-03,168.11,-883.2,2024-03,0,,-0.03,2,2023-03,-0.93,0,-25.08,"MBECL,"
Virya Resources Ltd.,512479,Engineering - Construction,115.5,1,2024-03,,115.5,2024-03,0,-0.15,2024-03,0,0,23.12,1,2023-03,0.01,8.75,10.32,"512479,"
HEC Infra Projects Ltd.,HECPROJECT,Engineering - Construction,106.45,1,2024-03,30.21,125.17,2024-06,78.55,5.52,2024-06,19.3,,2.97,1,2023-03,1.04,2.65,7.04,"HECPROJECT,"
Rachana Infrastructure Ltd.,RILINFRA,Engineering - Construction,106.14,1,2024-03,15.42,121.56,2024-03,91.48,3.63,2024-03,29.26,,1.34,1,2023-03,0.08,3.81,8.18,"RILINFRA,"
Promax Power Ltd.,543375,Engineering - Construction,105,1,2024-03,0.25,105.25,2024-03,60.26,1.37,2024-03,76.59,,2.93,2,2023-03,0.43,4.7,8.66,"543375,"
Kaizen Agro Infrabuild Ltd.,538833,Engineering - Construction,102.32,1,2024-03,,102.32,2024-03,32.69,0.22,2024-03,0,0,0.89,1,2023-03,0,0.56,0.81,"538833,"
Madhucon Projects Ltd.,531497,Engineering - Construction,99.7,2,2024-03,3813.37,3913.07,2024-06,1189.6,-50.98,2024-06,0,0,-0.05,2,2023-03,-2.09,0,-7.18,"531497,"
Agni Green Power Ltd.,AGNI,Engineering - Construction,87.42,1,2024-03,8.85,96.27,2024-03,35.27,0.38,2024-03,227.65,,2.87,1,2023-03,0.32,-4.95,0.22,"AGNI,"
Expo Gas Containers Ltd.,526614,Engineering - Construction,85.62,1,2024-03,40.92,124.47,2024-06,74.86,0.69,2024-06,123.55,1.58,2.95,1,2023-03,2.04,-10.35,3.58,"526614,"
VSF Projects Ltd.,519331,Engineering - Construction,84.68,1,2024-03,31.54,116.21,2024-03,0.22,35.35,2024-03,2.4,0.16,0.85,1,2023-03,-0.94,0,0,"519331,"
Sam Industries Ltd.,532005,Engineering - Construction,79.03,1,2024-03,26.72,105.75,2024-03,9.91,10.72,2024-03,7.37,0.23,1.17,1,2023-03,0,9.95,13.66,"532005,"
Akash Infra-Projects Ltd.,AKASH,Engineering - Construction,66.49,2,2024-03,88.25,149.04,2024-03,59.52,0.19,2024-03,294.2,,0.79,2,2023-03,0.73,1.68,4.96,"AKASH,"
Shreeshay Engineers Ltd.,541112,Engineering - Construction,64.63,1,2024-03,,64.63,2024-03,18.13,1.09,2024-03,59.19,11.44,2.72,1,2023-03,0.01,0.89,0.82,"541112,"
AJR Infra and Tolling Ltd.,AJRINFRA,Engineering - Construction,64.04,2,2024-03,207.32,229.78,2024-03,61.23,-237.14,2022-12,0,,-0.03,2,2023-03,-0.07,0,0,"AJRINFRA,"
Consolidated Construction Consortium Ltd.,CCCL,Engineering - Construction,59.78,2,2024-03,140.82,186.54,2024-06,136.78,693.79,2023-03,0,,-0.09,2,2024-03,5.1,0,128.3,"CCCL,"
CCL International Ltd.,531900,Engineering - Construction,59.55,1,2024-03,21.77,73.77,2024-03,35.7,1.46,2024-03,40.65,,1.28,1,2023-03,0.32,-3.04,-2.03,"531900,"
Genus Prime Infrastructures Ltd.,532425,Engineering - Construction,52.35,2,2024-03,21.63,73.97,2024-06,0.23,-1.99,2024-06,0,,1.11,2,2023-03,0.42,-0.01,-0.01,"532425,"
Conart Engineers Ltd.,522231,Engineering - Construction,51.86,1,2024-03,0.02,51.88,2024-03,60.53,3.85,2024-03,16.83,1.61,1.79,1,2023-03,0,8.17,10.58,"522231,"
Julien Agro Infratech Ltd.,536073,Engineering - Construction,51.45,1,2024-03,,51.45,2024-03,21.35,0.05,2024-03,0,0,1.24,1,2023-03,0,208.34,202.17,"536073,"
Vivanta Industries Ltd.,541735,Engineering - Construction,47.38,2,2024-03,15.84,62.56,2024-06,26.14,0.86,2024-06,55.28,,2.78,2,2024-03,0.94,5.63,5,"541735,"
Faalcon Concepts Ltd.,544164,Engineering - Construction,47.11,1,2024-03,4.16,51.27,2024-03,18.51,2.03,2024-03,23.22,,2.15,1,2023-03,0.58,78.64,71.71,"544164,"
Sonu Infratech Ltd.,SONUINFRA,Engineering - Construction,46.08,1,2024-03,32.15,78.23,2024-03,90.4,2.88,2024-03,15.99,,2.05,1,2023-03,1.43,16.36,12.94,"SONUINFRA,"
TechIndia Nirman Ltd.,526576,Engineering - Construction,43.62,1,2024-03,80.53,124.15,2024-06,0,-0.69,2024-06,0,,3.85,1,2023-03,5.95,-2.85,-0.45,"526576,"
ARSS Infrastructure Projects Ltd.,ARSSINFRA,Engineering - Construction,42.75,2,2024-03,1628.53,1599.87,2024-03,320.87,-35.35,2024-03,0,0,-0.26,2,2023-03,-12.79,0,0.62,"ARSSINFRA,"
Ranjeet Mechatronics Ltd.,541945,Engineering - Construction,32.72,1,2024-03,8.39,41.11,2024-03,16.89,0.12,2024-03,261.76,,1.63,1,2023-03,0.93,5.49,9.89,"541945,"
Kaushalya Infrastructure Development Corporation Ltd.,532925,Engineering - Construction,30.99,2,2024-03,,30.42,2024-03,0.14,11.1,2024-03,2.05,0.03,0.42,2,2023-03,0.39,31.33,21.67,"532925,"
Janus Corporation Ltd.,542924,Engineering - Construction,30.77,1,2024-03,,30.77,2024-03,38.9,0.37,2024-03,83.15,7.94,1.08,1,2023-03,0,2.52,3.4,"542924,"
Adhbhut Infrastructure Ltd.,539189,Engineering - Construction,29.71,1,2024-03,2.86,32.57,2024-03,2.56,0.87,2024-03,34.03,0.64,-4.85,1,2023-03,-0.37,0,-840.19,"539189,"
Gayatri Highways Ltd.,GAYAHWS,Engineering - Construction,28.76,2,2024-03,405.91,434.67,2024-06,3.22,-114.94,2024-06,0,,-0.02,2,2023-03,-1.84,0,15.29,"GAYAHWS,"
Indifra Ltd.,INDIFRA,Engineering - Construction,24.09,1,2024-03,,24.09,2024-03,9.86,-1.19,2024-03,0,,0.99,1,2023-03,0.23,82.46,88.92,"INDIFRA,"
PBA Infrastructure Ltd.,532676,Engineering - Construction,19.49,1,2024-03,406.41,425.9,2024-06,64.75,1.46,2024-06,13.39,,-0.16,1,2023-03,-3.37,0,-36.65,"532676,"
Ind Renewable Energy Ltd.,536709,Engineering - Construction,19.16,1,2024-03,0.41,19.57,2024-03,0,0.04,2024-03,425.82,,0.73,1,2023-03,0.05,0.02,-1.68,"536709,"
Neueon Towers Ltd.,NTL,Transmission Towers / Equipments,18.6,2,2024-03,1310.24,1328.84,2024-03,0.09,-93.7,2024-03,0,0,-0.01,1,2021-03,-2.07,0,-7.33,"NTL,"
