Sector: Banking,
Date: 13-Aug-2024,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: sangram.dash.mobile@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),TTM Statement,TTM Ending (Results),Interest Earned (Rs Cr.),Profit After Tax(Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Return On Equity(%),Net NPA Statement,Net NPA Year Ending,Net NPA (%),Net Interest Margin (%),Yield On Advances (%),Current A/c Savings A/c (%),Symbol with Comma for External Upload
Union Bank Of India,UNIONBANK,Bank - Public,91145.25,2,2024-06,103289.3,14069.45,2024-06,6.43,0.14,0.94,2,2024-03,16.68,1,2024-03,1.03,2.75,11.46,33.58,"UNIONBANK,"
Yes Bank Ltd.,YESBANK,Bank - Private,75590.5,2,2024-06,28885.91,1454.52,2024-06,51.97,,1.66,2,2024-03,3.18,1,2024-03,0.58,2.4,12.11,30.9,"YESBANK,"
Indian Bank,INDIANB,Bank - Public,74123.43,2,2024-06,57640.42,8822.06,2024-06,8.11,0.09,1.31,2,2024-03,16.65,1,2024-03,0.43,3.02,10.8,40.77,"INDIANB,"
UCO Bank,UCOBANK,Bank - Public,60174.34,2,2024-06,22654.4,1981.23,2024-06,15.98,,2.5,2,2024-03,7.03,1,2024-03,0.89,2.67,12.01,37.45,"UCOBANK,"
IDFC First Bank Ltd.,IDFCFIRSTB,Bank - Private,53376.33,2,2024-06,32244.94,2853.48,2024-06,18.71,0.65,1.46,2,2024-03,10.14,1,2024-03,0.6,5.84,15.58,47.25,"IDFCFIRSTB,"
Bank Of India,BANKINDIA,Bank - Public,52674.37,2,2024-06,63676.84,6617.59,2024-06,7.64,0.29,0.82,2,2024-03,10.9,1,2024-03,1.22,2.64,10.78,37.18,"BANKINDIA,"
Central Bank Of India,CENTRALBK,Bank - Public,50653.28,2,2024-06,31956.97,3034.94,2024-06,16.26,0.82,1.79,2,2024-03,9.57,1,2024-03,1.23,3.03,12.62,50.05,"CENTRALBK,"
The Federal Bank Ltd.,FEDERALBNK,Bank - Private,49473.83,2,2024-06,24943.3,4075.81,2024-06,12.28,0.51,1.59,2,2024-03,15.04,1,2024-03,0.6,2.87,10.6,29.56,"FEDERALBNK,"
AU Small Finance Bank Ltd.,AUBANK,Bank - Private,45424.96,1,2024-06,11865.42,1650.39,2024-06,27.52,0.86,3.47,1,2024-03,13.1,1,2024-03,0.55,4.83,14.43,33.41,"AUBANK,"
Bank Of Maharashtra,MAHABANK,Bank - Public,42573.22,2,2024-06,21580.87,4467.03,2024-06,9.5,0.41,2.14,2,2024-03,24.77,1,2024-03,0.2,3.29,10.24,52.73,"MAHABANK,"
Punjab & Sind Bank,PSB,Bank - Public,39487.38,1,2024-06,10030.46,624.25,2024-06,63.26,2.49,3.82,1,2024-03,4.15,1,2024-03,1.63,2.03,11.72,32.42,"PSB,"
Bandhan Bank Ltd.,BANDHANBNK,Bank - Private,31019.23,1,2024-06,19882.53,2571.97,2024-06,12.06,4.47,1.37,1,2024-03,10.84,1,2024-03,1.11,6.2,15.58,37.09,"BANDHANBNK,"
Karur Vysya Bank Ltd.,KARURVYSYA,Bank - Private,17297.58,1,2024-06,8605.56,1704.83,2024-06,10.15,0.2,1.65,1,2024-03,17.24,1,2024-03,0.4,3.75,11.14,30.39,"KARURVYSYA,"
RBL Bank Ltd.,RBLBANK,Bank - Private,13000.38,2,2024-06,13035.34,1291.45,2024-06,10.07,1.26,0.86,2,2024-03,8.95,1,2024-03,0.74,4.72,14.76,35.22,"RBLBANK,"
The Jammu & Kashmir Bank Ltd.,J&KBANK,Bank - Private,12096.49,2,2024-06,11550.35,1859.96,2024-06,6.51,0.21,1.06,2,2024-03,18.12,1,2024-03,0.79,3.8,11.96,50.51,"J&KBANK,"
City Union Bank Ltd.,CUB,Bank - Private,11984.07,1,2024-06,5393.04,1052.96,2024-06,11.38,1.38,1.38,1,2024-03,12.81,1,2024-03,1.97,3.12,11.58,30.63,"CUB,"
Equitas Small Finance Bank Ltd.,EQUITASBNK,Bank - Private,8552.18,1,2024-06,5733.4,633.52,2024-06,13.5,0.17,1.42,1,2023-03,12.21,1,2023-03,1.21,7.55,16.13,42.28,"EQUITASBNK,"
The Karnataka Bank Ltd.,KTKBANK,Bank - Private,8158.2,2,2024-06,8617.75,1336.31,2024-06,6.1,,0.76,2,2023-03,16.46,1,2023-03,1.7,3.56,12.04,32.97,"KTKBANK,"
Ujjivan Small Finance Bank Ltd.,UJJIVANSFB,Bank - Private,8072.47,1,2024-06,5967.46,1258.51,2024-06,6.41,0.14,1.38,1,2024-03,31.7,1,2024-03,0.28,8.7,21.12,26.7,"UJJIVANSFB,"
Tamilnad Mercantile Bank Ltd.,TMB,Bank - Private,7123.44,1,2024-06,4973.17,1098.09,2024-06,6.49,0.18,0.86,1,2023-03,16.78,1,2023-03,0.62,3.81,10.94,28.76,"TMB,"
The South Indian Bank Ltd.,SOUTHBANK,Bank - Private,6420.07,2,2024-06,8902.17,1161.5,2024-06,5.53,,0.7,2,2024-03,13.81,1,2024-03,1.46,2.97,11.03,32.08,"SOUTHBANK,"
Jana Small Finance Bank Ltd.,JSFB,Bank - Private,5898.37,1,2024-03,4013.04,669.54,2024-03,8.81,0.47,1.58,1,2024-03,26.39,1,2024-03,0.56,6.67,17.36,19.7,"JSFB,"
CSB Bank Ltd.,CSBBANK,Bank - Private,5611.4,1,2024-06,3076.06,547.92,2024-06,10.24,0.27,1.51,1,2024-03,17.06,1,2024-03,0.51,4.21,12.03,27.2,"CSBBANK,"
Utkarsh Small Finance Bank Ltd.,UTKARSHBNK,Bank - Private,5319.59,1,2024-06,3423.83,527.53,2024-06,10.08,0.25,1.72,1,2024-03,20.17,1,2024-03,0.03,8.17,19.42,20.5,"UTKARSHBNK,"
DCB Bank Ltd.,DCBBANK,Bank - Private,3664.91,1,2024-06,5613.55,540.41,2024-06,6.78,0.65,0.75,1,2024-03,11.85,1,2024-03,1.11,3.2,13.1,26.02,"DCBBANK,"
Fino Payments Bank Ltd.,FINOPB,Bank - Private,2832.61,1,2024-06,162.41,91.8,2024-06,30.86,,4.34,1,2023-03,12.78,1,2023-03,,2.4,0,100,"FINOPB,"
ESAF Small Finance Bank Ltd.,ESAFSFB,Bank - Private,2621.26,1,2024-06,3942.15,358.38,2024-06,7.31,0.2,1.03,1,2024-03,20.29,1,2024-03,2.26,9.38,20.87,22.66,"ESAFSFB,"
Suryoday Small Finance Bank Ltd.,SURYODAY,Bank - Private,2022.42,1,2024-06,1718.73,238.42,2024-06,8.48,0.17,1.08,1,2023-03,5.06,1,2023-03,1.55,7.93,19.68,17.11,"SURYODAY,"
Capital Small Finance Bank Ltd.,CAPITALSFB,Bank - Private,1376.92,1,2024-03,794.33,111.53,2024-03,12.35,0.29,1.12,1,2024-03,12.34,1,2024-03,1.4,3.79,13.08,38.3,"CAPITALSFB,"
Dhanlaxmi Bank Ltd.,DHANBANK,Bank - Private,1012.55,1,2024-06,1223.69,21.52,2024-06,47.05,1.48,0.98,1,2023-03,6.32,1,2023-03,1.16,3.35,11.33,31.9,"DHANBANK,"
