Sector: Logistics,
Date: 13-Aug-2024,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: sangram.dash.mobile@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
VL E-Governance & IT Solutions Ltd.,VLEGOV,Courier  Services,1153.92,1,2024-03,51.09,1204.94,2024-06,24.52,-164.89,2024-06,0,,0.47,1,2023-03,0.02,0.23,0.31,"VLEGOV,"
Allcargo Terminals Ltd.,ATL,Logistics,1129.95,2,2024-03,37,1166.95,2024-06,741.93,40.02,2024-06,25.3,,4.59,2,2023-03,0.16,73.71,62.56,"ATL,"
Essar Shipping Ltd.,ESSARSHPNG,Shipping,927.67,2,2024-03,2641.98,3569.65,2024-06,11.89,-164.98,2024-06,0,0,-0.32,2,2023-03,-0.99,0,0,"ESSARSHPNG,"
Ritco Logistics Ltd.,RITCO,Logistics,892.59,2,2024-03,258.77,1145.93,2024-06,977.67,34.16,2024-06,25.81,,3.08,2,2023-03,1.39,16.37,14.09,"RITCO,"
Sical Logistics Ltd.,SICALLOG,Logistics,808.44,2,2024-03,496.97,1186.1,2024-03,221.08,-28.3,2024-03,0,,32.06,2,2023-03,8.79,0,-190.7,"SICALLOG,"
ABS Marine Services Ltd.,ABSMARINE,Shipping,789.16,1,2024-03,45.68,827.78,,,,2023-03,98.64,,3.59,2,2024-03,0.39,24.11,20.42,"ABSMARINE,"
SJ Logistics (India) Ltd.,SJLOGISTIC,Logistics,773.25,2,2024-03,13.12,786.37,2024-03,270.86,22.61,2024-03,34.2,,6.3,2,2023-03,1.08,32.51,23.24,"SJLOGISTIC,"
Shreyas Shipping & Logistics Ltd.,SHREYAS,Shipping,759.84,2,2024-03,405.24,1147.97,2024-06,305.61,-50.36,2024-06,0,0,0.99,2,2023-03,0.61,27.19,19.96,"SHREYAS,"
Tara Chand Infralogistic Solutions Ltd.,TARACHAND,Logistics,673.01,1,2024-03,85.23,758.03,2024-06,178.71,16.88,2024-06,39.88,1.44,6.87,1,2024-03,0.91,20.18,17.12,"TARACHAND,"
AVG Logistics Ltd.,AVG,Logistics,639.52,2,2024-03,88.89,719.64,2024-03,479.49,32.26,2024-03,20.03,9.88,3.2,2,2023-03,1.25,9.19,21.34,"AVG,"
Afcom Holdings Ltd.,544224,Logistics,590.37,1,2023-03,0.48,584.13,,,,2023-03,43.45,,3.89,1,2023-03,0.01,28.57,39.85,"544224,"
Tiger Logistics (India) Ltd.,536264,Logistics,438.55,1,2024-03,11.56,408.35,2024-06,299.4,15.56,2024-06,28.19,1.83,3.8,1,2023-03,0,26.98,37.64,"536264,"
North Eastern Carrying Corporation Ltd.,NECCLTD,Logistics,356.81,1,2024-03,103.14,459.95,2024-06,328.9,10.21,2024-06,34.96,4.21,1.79,1,2023-03,1.14,5.66,8.34,"NECCLTD,"
Ruchi Infrastructure Ltd.,RUCHINFRA,Logistics,333.5,2,2024-03,94.95,409.82,2024-06,63.05,11.32,2024-06,29.46,1.78,1.62,2,2023-03,0.72,0.79,4.02,"RUCHINFRA,"
Prime Fresh Ltd.,540404,Logistics,300.21,1,2024-03,-0.21,300,2024-03,142.94,6.79,2024-03,44.21,1.14,4.88,2,2023-03,0.16,19.8,23.79,"540404,"
Sadhav Shipping Ltd.,SADHAV,Shipping,297.39,1,2024-03,67.03,364.41,2024-03,84.25,9.14,2024-03,32.52,,3.44,1,2023-03,1.35,20.41,18.47,"SADHAV,"
Seacoast Shipping Services Ltd.,542753,Shipping,293.04,1,2024-03,30.3,323.34,2024-03,374.16,20.28,2024-03,14.45,0.05,2.3,1,2023-03,0.46,26.04,28.4,"542753,"
Premier Roadlines Ltd.,PRLIND,Logistics,284.41,1,2024-03,36.93,320.53,2024-03,228.54,12.62,2024-03,22.53,,3.56,1,2024-03,0.94,37.92,29.05,"PRLIND,"
Zeal Global Services Ltd.,ZEAL,Logistics,244.9,1,2024-03,9.82,220.18,2024-03,193.09,11.67,2024-03,20.99,,4.32,2,2023-03,0.77,55.42,53.17,"ZEAL,"
Shree Vasu Logistics Ltd.,SVLL,Logistics,242.55,1,2024-03,47.08,288.66,2024-06,127.61,3.14,2024-06,77.22,,7.42,1,2023-03,1.48,7.5,17.54,"SVLL,"
Global Offshore Services Ltd.,501848,Shipping,224.07,2,2024-03,34.57,253.33,2024-06,34.77,50.32,2024-06,4.88,,2.75,2,2023-03,3.3,0,121.33,"501848,"
Aspinwall And Company Ltd.,ASPINWALL,Logistics,223.52,2,2024-03,20.75,208.69,2024-06,306.22,12.83,2024-06,17.42,,1.2,2,2023-03,0.08,17.27,20.55,"ASPINWALL,"
Maheshwari Logistics Ltd.,MAHESHWARI,Logistics,220.62,2,2024-03,248.15,445.86,2024-03,1048,13.75,2024-03,16.71,5.63,1.22,2,2023-03,1.15,8.4,11.86,"MAHESHWARI,"
Ashapura Logistics Ltd.,ASHALOG,Logistics,216.02,1,2024-03,41.47,251.83,,,,2023-03,29.65,,15.93,2,2024-03,0.63,21.81,21.33,"ASHALOG,"
Kaushalya Logistics Ltd.,KLL,Logistics,196.88,1,2024-03,67.2,253.45,2024-03,1465.95,9.1,2024-03,21.64,,10.62,2,2023-03,2.46,44.67,23.44,"KLL,"
Shreeji Translogistics Ltd.,540738,Logistics,173.24,2,2024-03,47.46,220.7,2024-03,253.91,16.37,2024-03,10.52,0.36,2.99,2,2023-03,1.08,29.19,22.59,"540738,"
Lakshmi Automatic Loom Works Ltd.,505302,Logistics,171.88,1,2024-03,4.95,171.2,2024-06,14.16,1.89,2024-06,91.13,21.5,7.83,1,2023-03,0.28,11.02,15.11,"505302,"
Globe International Carriers Ltd.,GICL,Logistics,171.82,1,2024-03,18.87,190.69,2024-03,114.5,2.47,2024-03,69.53,7.48,3.3,2,2023-03,0.71,7.05,10.28,"GICL,"
Total Transport Systems Ltd.,TOTAL,Logistics,167.77,2,2024-03,33.49,178.89,2024-06,520.32,0.2,2024-06,998.62,,2.2,2,2023-03,0.21,7.93,14.74,"TOTAL,"
Reliance Naval and Engineering Ltd.,RNAVAL,Shipping,167.43,1,2023-03,2897.12,3064.55,2023-03,3.16,-1627.97,2022-09,0,,-0.01,1,2020-03,-1.02,0,-66.97,"RNAVAL,"
Accuracy Shipping Ltd.,ACCURACY,Logistics,166.67,2,2024-03,109.29,264.03,2024-06,768.36,6.69,2024-06,24.91,,1.41,2,2023-03,1.02,7.93,10.85,"ACCURACY,"
Patel Integrated Logistics Ltd.,PATINTLOG,Logistics,150.94,1,2024-03,24.12,142.71,2024-06,311.62,6.03,2024-06,25.03,,1.25,1,2024-03,0.2,4.67,5.65,"PATINTLOG,"
DRS Dilip Roadlines Ltd.,DRSDILIP,Logistics,144.6,1,2024-03,6.37,150.97,2024-03,181.74,3,2024-03,48.23,,2.62,2,2023-03,0.33,7.79,10.16,"DRSDILIP,"
Sanco Trans Ltd.,523116,Logistics,131.4,1,2024-03,11.44,137.89,2024-06,98.08,1.43,2024-06,91.76,3.05,1.25,1,2023-03,0.07,1.31,2.66,"523116,"
Orissa Bengal Carrier Ltd.,OBCL,Logistics,119.96,1,2024-03,13.65,132.31,2024-03,332.8,3.91,2024-03,32.54,,1.34,1,2024-03,0.15,4.21,7.09,"OBCL,"
Arshiya Ltd.,ARSHIYA,Logistics,114.09,1,2023-09,600.55,714.34,2023-12,11.92,-242.77,2023-12,0,0,0.19,2,2023-03,5.78,-67.51,4.95,"ARSHIYA,"
Kesar Terminals & Infrastructure Ltd.,533289,Logistics,111.25,2,2024-03,10.71,118.57,2024-06,31.64,-55.83,2024-03,0,,-1.15,2,2024-03,-0.11,0,0,"533289,"
Chartered Logistics Ltd.,531977,Logistics,105.8,1,2024-03,20.71,126.51,2024-06,74.85,2.19,2024-06,48.31,,2.29,1,2023-03,0.88,0.36,4.07,"531977,"
Chowgule Steamships Ltd.,501833,Shipping,104.21,1,2024-03,,104.21,2024-06,4.21,3.02,2024-06,34.49,,2.38,2,2023-03,-0.2,0,0,"501833,"
Hariyana Ship Breakers Ltd.,526931,Shipping,93.61,2,2024-03,14.91,108.52,2024-03,148.63,1.75,2024-03,29.02,,0.64,2,2023-03,0.16,2.93,5.1,"526931,"
Arvind And Company Shipping Agencies Ltd.,ACSAL,Shipping,77.86,1,2024-03,11.72,89.34,2024-03,14.15,5.27,2024-03,14.79,,2.8,1,2024-03,0.42,28.46,23.87,"ACSAL,"
Jet Freight Logistics Ltd.,JETFREIGHT,Logistics,65.15,2,2024-03,54.91,106.64,2024-06,431.83,4.35,2024-06,14.98,,1.05,2,2023-03,0.93,-0.91,5.68,"JETFREIGHT,"
Committed Cargo Care Ltd.,COMMITTED,Logistics,60.59,1,2024-03,0.11,52.36,2024-03,142.6,4.12,2024-03,14.71,1.37,1.05,1,2024-03,0,9.49,13.17,"COMMITTED,"
ABC India Ltd.,520123,Logistics,60.08,1,2024-03,19.84,77.06,2024-03,164.59,2.28,2024-03,26.32,1.47,1.33,1,2023-03,0.47,10.78,10.89,"520123,"
Transvoy Logistics India Ltd.,543754,Logistics,50.33,1,2024-03,6.91,57.24,2024-03,26.81,0.72,2024-03,70.2,,7.49,2,2023-03,0.34,16.23,19.74,"543754,"
Flomic Global Logistics Ltd.,504380,Logistics,48.56,1,2024-03,33.27,60.94,2024-03,332.16,2.18,2024-03,22.24,0.08,1.5,1,2023-03,0.56,25.69,36.71,"504380,"
Balurghat Technologies Ltd.,520127,Logistics,48.23,1,2024-03,10.42,58.65,2024-06,76.55,1.84,2024-06,26.25,2.05,2.46,1,2023-03,0.66,7.86,10.42,"520127,"
Destiny Logistics & Infra Ltd.,DESTINY,Logistics,47.78,1,2024-03,13.27,61.05,2024-03,57.82,2.12,2024-03,22.51,,1.67,1,2023-03,0.07,9.58,13.92,"DESTINY,"
Timescan Logistics (India) Ltd.,TIMESCAN,Logistics,47.34,1,2024-03,2.07,49.41,2024-03,201.92,3.79,2024-03,12.49,,2.36,1,2023-03,0.12,25.6,32.58,"TIMESCAN,"
Shahi Shipping Ltd.,526508,Shipping,38.86,1,2024-03,5.39,43.89,2024-03,12.42,2.58,2024-03,15.03,,6.62,1,2023-03,2.74,13.25,5.84,"526508,"
Marinetrans India Ltd.,MARINETRAN,Logistics,34.36,1,2024-03,6.78,41.14,2024-03,106.34,0.57,2024-03,60.39,,2.7,2,2023-03,0.35,10,13.56,"MARINETRAN,"
Cargotrans Maritime Ltd.,543618,Logistics,33.7,1,2024-03,2.39,34.56,2024-03,61.7,1.78,2024-03,18.92,,2.43,2,2023-03,0.02,25.72,30.41,"543618,"
Cargosol Logistics Ltd.,543621,Logistics,32.64,1,2024-03,28.49,59.63,2024-03,113.55,-3.63,2024-03,0,,1.64,2,2023-03,0.94,10.91,13.34,"543621,"
Oneclick Logistics India Ltd.,OLIL,Logistics,31.84,1,2024-03,2.24,34.08,2024-03,28.73,0.66,2024-03,48.61,,2.68,1,2023-03,9.43,95.09,6.3,"OLIL,"
Frontline Corporation Ltd.,532042,Logistics,31,1,2024-03,56.99,87.03,2024-03,87.85,1.21,2024-03,25.49,3.6,2.48,1,2023-03,4.34,27.2,6.17,"532042,"
Gconnect Logitech And Supply Chain Ltd.,544156,Logistics,30.87,1,2024-03,,30.87,2024-03,4.01,0.24,2024-03,129.16,,3.22,1,2023-03,0,14.01,18.71,"544156,"
MFL India Ltd.,526622,Logistics,27.74,1,2023-09,15,42.74,2023-12,52.24,-0.91,2023-12,0,0,-60.16,1,2023-03,29.7,0.8,0.06,"526622,"
Inter State Oil Carrier Ltd.,530259,Logistics,17.61,1,2024-03,19.23,35.09,2024-06,92.46,0.6,2024-06,29.6,,0.96,1,2023-03,1.22,-2.43,2.58,"530259,"
Sahara Maritime Ltd.,544056,Logistics,17.09,1,2024-03,1.31,18.4,2024-03,13.43,0.78,2024-03,21.94,,1.42,1,2023-03,0.33,26.72,32.19,"544056,"
Coastal Roadways Ltd.,520131,Logistics,15.52,1,2024-03,0.34,12.59,2024-06,38.53,1.52,2024-06,10.21,0.45,0.74,1,2024-03,0.02,11.61,12.92,"520131,"
Amiable Logistics (India) Ltd.,AMIABLE,Logistics,14.41,1,2024-03,2.04,16.45,2024-03,24.4,1.34,2024-03,10.75,,2.09,1,2023-03,0.41,25.07,29.65,"AMIABLE,"
Future Supply Chain Solutions Ltd.,FSC,Logistics,14.17,1,2022-03,502.3,513.74,2022-06,546.8,-685.32,2022-06,0,,,1,2021-03,0.94,-28.57,-7.26,"FSC,"
Lynx Machinery & Commercials Ltd.,505320,Logistics,13.51,1,2024-03,9.17,22.68,2024-06,0,-0.82,2024-06,0,,24.38,1,2023-03,-2.48,0,-52.56,"505320,"
Containerway International Ltd.,540597,Logistics,7.79,1,2024-03,3.72,11.52,2024-03,0,-0.16,2024-03,0,0,-7.42,1,2023-03,-3.92,0,-3.84,"540597,"
Karnimata Cold Storage Ltd.,537784,Logistics,5.47,1,2024-03,8.8,14.27,2024-03,4.19,0.61,2024-03,9.02,1.27,0.61,1,2023-03,1.12,5.72,8.14,"537784,"
Jalan Transolutions (India) Ltd.,JALAN,Logistics,4.72,1,2024-03,40.09,44.81,2024-03,5.37,-15.62,2024-03,0,,-0.19,1,2023-03,-1.72,0,-72.64,"JALAN,"
Corporate Courier & Cargo Ltd.,526737,Courier  Services,2.15,1,2022-12,0.31,2.46,2022-12,0.04,-0.35,2022-12,0,,3.88,1,2022-03,0.56,-8.57,-6.3,"526737,"
